,date,street,level,median_length,median_delay,median_speed_kmh,median_record,id,y5,y3,y4,city
2377,2022-07-14,Suka Resmi,3,229.0,161.0,4.13,18.0,2022-07-14_Suka Resmi,4,1,0,KOTA BANDUNG
2378,2022-07-14,Sukaati,2,219.0,81.0,6.28,1.0,2022-07-14_Sukaati,4,1,0,KOTA BANDUNG
2379,2022-07-14,Sukagalih,2,450.0,130.5,6.4,10.0,2022-07-14_Sukagalih,4,1,0,KOTA BANDUNG
2380,2022-07-14,Sukahaji,3,727.75,168.5,6.66,12.0,2022-07-14_Sukahaji,4,1,0,KOTA BANDUNG
2381,2022-07-14,Sukajadi,2,2068.0,123.0,18.68,23.0,2022-07-14_Sukajadi,0,0,2,KOTA BANDUNG
2382,2022-07-14,Sukamaju,3,405.0,239.5,4.46,12.0,2022-07-14_Sukamaju,4,1,0,KOTA BANDUNG
2383,2022-07-14,Sukamulya,2,272.0,114.5,6.32,2.0,2022-07-14_Sukamulya,4,1,0,KOTA BANDUNG
2384,2022-07-14,Sukaraja,3,575.0,159.0,8.56,12.5,2022-07-14_Sukaraja,4,1,0,KOTA BANDUNG
2385,2022-07-14,Sukawarna,3,157.0,150.5,3.3,19.0,2022-07-14_Sukawarna,4,1,0,KOTA BANDUNG
2386,2022-07-14,Sulaksana Baru 1,2,296.0,81.75,8.075,8.5,2022-07-14_Sulaksana Baru 1,4,1,0,KOTA BANDUNG
2387,2022-07-14,Sulanjana,2,226.0,174.0,3.105,8.0,2022-07-14_Sulanjana,4,1,0,KOTA BANDUNG
2388,2022-07-14,Sultan Ageng Tirtayasa,3,211.0,121.0,5.34,4.0,2022-07-14_Sultan Ageng Tirtayasa,4,1,0,KOTA BANDUNG
2389,2022-07-14,Sultan Agung,3,359.0,112.0,7.8050003,5.0,2022-07-14_Sultan Agung,4,1,0,KOTA BANDUNG
2390,2022-07-14,Suniaraja,4,254.0,105.0,7.08,8.0,2022-07-14_Suniaraja,4,1,0,KOTA BANDUNG
2391,2022-07-14,Surapati,2,1535.0,112.5,18.98,17.0,2022-07-14_Surapati,0,0,2,KOTA BANDUNG
2392,2022-07-14,Suryalaya,3,472.5,496.0,4.7875,4.0,2022-07-14_Suryalaya,4,1,0,KOTA BANDUNG
2393,2022-07-14,Talaga Bodas,3,613.0,102.0,12.83,9.0,2022-07-14_Talaga Bodas,1,0,3,KOTA BANDUNG
2394,2022-07-14,Taman Holis Raya,3,272.0,137.5,4.3925,9.0,2022-07-14_Taman Holis Raya,4,1,0,KOTA BANDUNG
2395,2022-07-14,Taman Pramuka,3,346.0,112.5,7.68,4.0,2022-07-14_Taman Pramuka,4,1,0,KOTA BANDUNG
